GeneID	GO_ID
Sco19g09730.1	33208|Metazoa
Sco03g04920.1	33208|Metazoa
Sco19g04180.1	33208|Metazoa
Sco19g13200.1	33208|Metazoa
Sco12g10360.1	33208|Metazoa
Sco14g05120.1	33208|Metazoa
Sco16g04260.1	33208|Metazoa
Sco17g15770.1	33208|Metazoa
Sco05g05260.1	33208|Metazoa
Sco15g08350.1	33208|Metazoa
Sco16g14170.1	33208|Metazoa
Sco13g06280.1	33208|Metazoa
Sco17g20950.1	33208|Metazoa
Sco19g11010.1	33208|Metazoa
Sco12g15260.1	33208|Metazoa
Sco05g05750.1	35493|Streptophyta
Sco02g01640.1	33208|Metazoa
Sco15g02480.1	33208|Metazoa
Sco02g04420.1	2759|Eukaryota
Sco04g00520.1	33208|Metazoa
Sco13g02060.1	33208|Metazoa
Sco13g07750.1	33208|Metazoa
Sco17g18850.1	33208|Metazoa
Sco01g07130.1	33208|Metazoa
Sco02g03160.1	33208|Metazoa
Sco17g08530.1	33208|Metazoa
Sco19g09530.1	33208|Metazoa
Sco15g00530.1	33208|Metazoa
Sco01g07360.1	33208|Metazoa
Sco16g10640.1	33208|Metazoa
Sco16g13710.1	33208|Metazoa
Sco02g09810.1	6500.XP_005089770.1|-
Sco14g16740.1	33208|Metazoa
Sco06g01450.1	33208|Metazoa
Sco03g04700.1	33208|Metazoa
Sco03g09100.1	33208|Metazoa
Sco06g01360.1	33208|Metazoa
Sco19g02560.1	33208|Metazoa
Sco03g07080.1	33208|Metazoa
Sco05g05110.1	33208|Metazoa
Sco14g09810.1	33208|Metazoa
Sco09g01360.1	33208|Metazoa
Sco12g06090.1	33208|Metazoa
Sco16g04340.1	33208|Metazoa
Sco01g07240.1	33208|Metazoa
Sco03g12930.1	33208|Metazoa
Sco17g08370.1	33208|Metazoa
Sco19g01210.1	33208|Metazoa
Sco19g03760.1	33208|Metazoa
Sco15g00940.1	33208|Metazoa
Sco13g14550.1	33208|Metazoa
Sco17g13740.1	33208|Metazoa
Sco11g11110.1	33208|Metazoa
Sco14g12740.1	33208|Metazoa
Sco16g05940.1	33208|Metazoa
Sco10g01020.1	33208|Metazoa
Sco03g08550.1	33208|Metazoa
Sco18g08010.1	33208|Metazoa
Sco17g07730.1	33208|Metazoa
Sco01g01460.1	33208|Metazoa
Sco01g08860.1	33208|Metazoa
Sco07g02580.1	33208|Metazoa
Sco08g04880.1	33208|Metazoa
Sco11g10780.1	33208|Metazoa
Sco14g03320.1	33208|Metazoa
Sco06g12600.1	33208|Metazoa
Sco11g04580.1	33208|Metazoa
Sco18g03230.1	33208|Metazoa
Sco06g00260.1	33208|Metazoa
Sco14g00510.1	33208|Metazoa
Sco01g00260.1	33208|Metazoa
Sco01g11030.1	33208|Metazoa
Sco02g05870.1	33208|Metazoa
Sco05g11780.1	33208|Metazoa
Sco03g07070.1	33208|Metazoa
Sco04g03680.1	33208|Metazoa
Sco03g02180.1	33208|Metazoa
Sco07g00930.1	33208|Metazoa
Sco14g04470.1	33208|Metazoa
Sco10g01940.1	33208|Metazoa
Sco06g01210.1	33154|Opisthokonta
Sco17g00700.1	33208|Metazoa
Sco03g12350.1	33208|Metazoa
Sco19g10610.1	33208|Metazoa
Sco17g10700.1	33208|Metazoa
Sco13g04520.1	33208|Metazoa
Sco13g06480.1	33208|Metazoa
Sco14g08480.1	33208|Metazoa
Sco03g04340.1	33208|Metazoa
Sco12g02740.1	2759|Eukaryota
Sco06g05060.1	33208|Metazoa
Sco16g04310.1	33208|Metazoa
Sco13g01060.1	33208|Metazoa
Sco06g08190.1	33208|Metazoa
Sco17g18770.1	33208|Metazoa
Sco06g00320.1	33154|Opisthokonta
Sco17g20590.1	33208|Metazoa
Sco17g17480.1	33208|Metazoa
Sco06g04940.1	33208|Metazoa
Sco04g00320.1	2759|Eukaryota
Sco16g02550.1	33208|Metazoa
Sco04g06590.1	33208|Metazoa
Sco11g03770.1	33208|Metazoa
Sco15g01600.1	45351.EDO47665|-
Sco17g12030.1	33208|Metazoa
Sco09g06160.1	33208|Metazoa
Sco16g12720.1	2759|Eukaryota
Sco09g05260.1	33208|Metazoa
Sco06g11630.1	33208|Metazoa
Sco13g02130.1	33208|Metazoa
Sco08g05200.1	33208|Metazoa
Sco12g08680.1	33208|Metazoa
Sco03g05280.1	33208|Metazoa
Sco17g16800.1	33208|Metazoa
Sco03g03370.1	33208|Metazoa
Sco11g03020.1	33208|Metazoa
Sco11g11350.1	33208|Metazoa
Sco02g00650.1	33208|Metazoa
Sco14g14730.1	33208|Metazoa
Sco02g01780.1	33154|Opisthokonta
Sco14g03500.1	2759|Eukaryota
Sco19g02530.1	33208|Metazoa
Sco07g09690.1	33208|Metazoa
Sco03g04000.1	33208|Metazoa
Sco03g02160.1	33208|Metazoa
Sco11g03760.1	2759|Eukaryota
Sco01g04510.1	33208|Metazoa
Sco12g11300.1	33208|Metazoa
Sco02g04600.1	33208|Metazoa
Sco06g02090.1	33208|Metazoa
Sco12g10930.1	33208|Metazoa
Sco05g05210.1	33208|Metazoa
Sco17g12920.1	33208|Metazoa
Sco16g03140.1	33208|Metazoa
Sco02g05260.1	2759|Eukaryota
Sco10g06540.1	33208|Metazoa
Sco12g08130.1	33208|Metazoa
Sco19g12610.1	33208|Metazoa
Sco12g12650.1	33208|Metazoa
Sco18g02550.1	33208|Metazoa
Sco14g08760.1	33208|Metazoa
Sco17g00840.1	33208|Metazoa
Sco16g04520.1	33208|Metazoa
Sco13g05290.1	35493|Streptophyta
Sco07g06080.1	33208|Metazoa
Sco07g02960.1	33208|Metazoa
Sco17g20710.1	33208|Metazoa
Sco07g05640.1	33208|Metazoa
Sco07g04560.1	33208|Metazoa
Sco12g03440.1	33208|Metazoa
Sco11g07450.1	33208|Metazoa
Sco12g11790.1	33208|Metazoa
Sco14g03730.1	33208|Metazoa
Sco01g05020.1	33208|Metazoa
Sco17g09590.1	33208|Metazoa
Sco07g02670.1	33208|Metazoa
Sco10g06300.1	33208|Metazoa
Sco16g06460.1	33208|Metazoa
Sco10g02140.1	33208|Metazoa
Sco13g08020.1	33208|Metazoa
Sco17g13690.1	33208|Metazoa
Sco03g03920.1	33208|Metazoa
Sco12g08710.1	33208|Metazoa
Sco11g00700.1	33208|Metazoa
Sco02g01490.1	33208|Metazoa
Sco06g00490.1	33208|Metazoa
Sco19g16000.1	33208|Metazoa
Sco05g02140.1	33208|Metazoa
Sco08g04630.1	33208|Metazoa
Sco18g10290.1	33208|Metazoa
Sco13g12550.1	33208|Metazoa
Sco01g07040.1	33208|Metazoa
Sco07g08330.1	33208|Metazoa
Sco18g07300.1	33208|Metazoa
Sco15g00810.1	33208|Metazoa
Sco05g01830.1	33208|Metazoa
Sco18g02350.1	33208|Metazoa
Sco13g13730.1	2759|Eukaryota
Sco16g03640.1	33208|Metazoa
Sco01g04940.1	33208|Metazoa
Sco17g16610.1	33208|Metazoa
Sco19g06880.1	33154|Opisthokonta
Sco18g09930.1	33208|Metazoa
Sco17g13930.1	33208|Metazoa
Sco17g09100.1	33208|Metazoa
Sco18g07450.1	33208|Metazoa
Sco08g07790.1	33208|Metazoa
Sco17g19570.1	33208|Metazoa
Sco12g07760.1	33208|Metazoa
Sco07g07520.1	33208|Metazoa
Sco15g06620.1	33208|Metazoa
Sco17g01660.1	33208|Metazoa
Sco19g13520.1	33208|Metazoa
Sco16g12080.1	33208|Metazoa
Sco10g03240.1	33208|Metazoa
Sco13g03950.1	33208|Metazoa
Sco11g01350.1	33208|Metazoa
Sco19g03960.1	33154|Opisthokonta
Sco05g02370.1	33208|Metazoa
Sco03g11650.1	33208|Metazoa
Sco09g03360.1	33208|Metazoa
Sco17g14730.1	33208|Metazoa
Sco12g08200.1	33208|Metazoa
Sco12g04050.1	33208|Metazoa
Sco14g11170.1	33208|Metazoa
Sco14g01070.1	33208|Metazoa
Sco16g03320.1	33208|Metazoa
Sco02g00430.1	33208|Metazoa
Sco13g14190.1	33208|Metazoa
Sco05g06080.1	33208|Metazoa
Sco19g01960.1	33208|Metazoa
Sco14g07850.1	33208|Metazoa
Sco17g06190.1	33208|Metazoa
Sco05g10300.1	33208|Metazoa
Sco05g01940.1	33208|Metazoa
Sco05g03420.1	33208|Metazoa
Sco07g02350.1	33208|Metazoa
Sco11g07060.1	33154|Opisthokonta
Sco14g07220.1	33208|Metazoa
Sco02g01730.1	33208|Metazoa
Sco12g11930.1	33208|Metazoa
Sco15g07350.1	33208|Metazoa
Sco17g04220.1	33208|Metazoa
Sco15g12970.1	33208|Metazoa
Sco11g00290.1	33208|Metazoa
Sco03g10130.1	33208|Metazoa
Sco01g03200.1	33208|Metazoa
Sco15g02560.1	33208|Metazoa
Sco14g17770.1	33208|Metazoa
Sco11g02140.1	33208|Metazoa
Sco13g00640.1	33208|Metazoa
Sco02g01910.1	33208|Metazoa
Sco19g13820.1	33208|Metazoa
Sco18g03450.1	33208|Metazoa
Sco06g00940.1	33208|Metazoa
Sco12g08830.1	33208|Metazoa
Sco08g02010.1	33208|Metazoa
Sco15g12220.1	33208|Metazoa
Sco08g02610.1	33208|Metazoa
Sco14g11180.1	33208|Metazoa
Sco10g08420.1	33208|Metazoa
Sco18g09920.1	33208|Metazoa
Sco02g02580.1	33208|Metazoa
Sco01g10640.1	33208|Metazoa
Sco10g02870.1	33154|Opisthokonta
Sco04g07520.1	2759|Eukaryota
Sco17g13110.1	33208|Metazoa
Sco15g13010.1	33208|Metazoa
Sco18g02790.1	33208|Metazoa
Sco11g09380.1	33208|Metazoa
Sco14g12090.1	33208|Metazoa
Sco17g08000.1	33208|Metazoa
Sco03g09310.1	33208|Metazoa
Sco17g03110.1	33208|Metazoa
Sco05g08680.1	33208|Metazoa
Sco05g01990.1	33208|Metazoa
Sco10g04190.1	33154|Opisthokonta
Sco13g13720.1	33208|Metazoa
Sco12g15230.1	33154|Opisthokonta
Sco14g08920.1	33208|Metazoa
Sco17g09760.1	33208|Metazoa
Sco16g01390.1	33208|Metazoa
Sco11g03170.1	33208|Metazoa
Sco14g07480.1	33208|Metazoa
Sco17g01700.1	33208|Metazoa
Sco04g06650.1	33208|Metazoa
Sco10g05920.1	33208|Metazoa
Sco14g09080.1	33208|Metazoa
Sco08g04370.1	33208|Metazoa
Sco09g05690.1	33208|Metazoa
Sco17g15990.1	33208|Metazoa
Sco19g08510.1	33208|Metazoa
Sco10g05500.1	33208|Metazoa
Sco06g03040.1	33208|Metazoa
Sco18g09840.1	33208|Metazoa
Sco13g09810.1	33154|Opisthokonta
Sco01g03880.1	33208|Metazoa
Sco08g07050.1	33208|Metazoa
Sco14g06240.1	33208|Metazoa
Sco06g08130.1	33208|Metazoa
Sco08g06350.1	33208|Metazoa
Sco07g05960.1	33208|Metazoa
Sco12g15580.1	33208|Metazoa
Sco17g03020.1	33208|Metazoa
Sco14g00680.1	33208|Metazoa
Sco03g02710.1	33208|Metazoa
Sco13g14250.1	33208|Metazoa
Sco02g00340.1	33208|Metazoa
Sco08g07540.1	33208|Metazoa
Sco14g08640.1	33208|Metazoa
Sco15g03940.1	33208|Metazoa
Sco12g03280.1	33208|Metazoa
Sco08g00450.1	33208|Metazoa
Sco02g00080.1	33208|Metazoa
Sco01g10950.1	33208|Metazoa
Sco08g01190.1	33208|Metazoa
Sco01g00640.1	33208|Metazoa
Sco09g04540.1	33208|Metazoa
Sco04g03380.1	33208|Metazoa
Sco19g10530.1	33208|Metazoa
Sco15g09650.1	33208|Metazoa
Sco07g03230.1	33208|Metazoa
Sco16g09440.1	33208|Metazoa
Sco19g09990.1	33208|Metazoa
Sco02g00160.1	33208|Metazoa
Sco08g07130.1	33208|Metazoa
Sco19g12320.1	33208|Metazoa
Sco13g13220.1	33208|Metazoa
Sco05g08070.1	33208|Metazoa
Sco15g08410.1	33208|Metazoa
Sco19g08570.1	33208|Metazoa
Sco10g06790.1	33208|Metazoa
Sco05g00080.1	33208|Metazoa
Sco02g08980.1	33208|Metazoa
Sco15g01050.1	33208|Metazoa
Sco10g08590.1	33208|Metazoa
Sco14g03860.1	33208|Metazoa
Sco19g01570.1	33208|Metazoa
Sco13g00860.1	33208|Metazoa
Sco19g11440.1	33208|Metazoa
Sco03g12040.1	33208|Metazoa
Sco14g10950.1	33208|Metazoa
Sco16g09740.1	28211|Alphaproteobacteria
Sco05g03120.1	33208|Metazoa
Sco19g07410.1	33208|Metazoa
Sco12g06650.1	33208|Metazoa
Sco19g09060.1	33208|Metazoa
Sco02g10140.1	33208|Metazoa
Sco08g00050.1	33208|Metazoa
Sco12g14640.1	2759|Eukaryota
Sco14g05940.1	33208|Metazoa
Sco12g01490.1	33208|Metazoa
Sco02g03930.1	33208|Metazoa
Sco17g13650.1	33208|Metazoa
Sco02g02920.1	33208|Metazoa
Sco11g06840.1	33208|Metazoa
Sco14g05540.1	33208|Metazoa
Sco12g14840.1	33208|Metazoa
Sco13g14630.1	33208|Metazoa
Sco03g10730.1	33208|Metazoa
Sco03g07900.1	33208|Metazoa
Sco14g18050.1	33208|Metazoa
Sco16g11190.1	33208|Metazoa
Sco03g10540.1	33208|Metazoa
Sco02g06590.1	33208|Metazoa
Sco05g04310.1	33208|Metazoa
Sco12g03840.1	33208|Metazoa
Sco03g10780.1	33208|Metazoa
Sco14g02840.1	33208|Metazoa
Sco03g03130.1	33208|Metazoa
Sco06g07970.1	33208|Metazoa
Sco11g04330.1	33208|Metazoa
Sco06g08050.1	33208|Metazoa
Sco14g07920.1	2759|Eukaryota
Sco15g00730.1	33208|Metazoa
Sco17g08050.1	33208|Metazoa
Sco07g05580.1	33208|Metazoa
Sco14g08550.1	33208|Metazoa
Sco17g10350.1	33208|Metazoa
Sco01g10120.1	33208|Metazoa
Sco14g15810.1	33208|Metazoa
Sco03g10080.1	33208|Metazoa
Sco04g10020.1	33208|Metazoa
Sco06g11120.1	33208|Metazoa
Sco13g04790.1	33208|Metazoa
Sco13g05700.1	33208|Metazoa
Sco08g05360.1	33208|Metazoa
Sco12g14500.1	33208|Metazoa
Sco16g11550.1	33208|Metazoa
Sco11g00540.1	33208|Metazoa
Sco02g08040.1	33208|Metazoa
Sco11g05400.1	33208|Metazoa
Sco17g01120.1	33208|Metazoa
Sco16g10790.1	33208|Metazoa
Sco03g04200.1	33208|Metazoa
Sco02g08650.1	33208|Metazoa
Sco11g03720.1	33208|Metazoa
Sco16g04070.1	33208|Metazoa
Sco09g06410.1	33208|Metazoa
Sco12g09860.1	33208|Metazoa
Sco01g06160.1	1236|Gammaproteobacteria
Sco11g00860.1	33208|Metazoa
Sco11g07350.1	33208|Metazoa
Sco08g03320.1	33208|Metazoa
Sco19g01900.1	33154|Opisthokonta
Sco19g01310.1	33208|Metazoa
Sco16g05540.1	33208|Metazoa
Sco17g11080.1	33208|Metazoa
Sco16g05790.1	33208|Metazoa
Sco16g04410.1	33208|Metazoa
Sco06g11580.1	33208|Metazoa
Sco14g02630.1	33208|Metazoa
Sco14g03090.1	33208|Metazoa
Sco10g00040.1	33208|Metazoa
Sco15g03790.1	33208|Metazoa
Sco11g09910.1	33208|Metazoa
Sco14g11280.1	33208|Metazoa
Sco06g05420.1	33208|Metazoa
Sco16g06550.1	33208|Metazoa
Sco04g02580.1	33208|Metazoa
Sco08g01340.1	33208|Metazoa
Sco14g13310.1	33208|Metazoa
Sco06g07570.1	33208|Metazoa
Sco14g12290.1	400682.PAC_15704734|-
Sco19g11270.1	33208|Metazoa
Sco15g10030.1	33208|Metazoa
Sco19g14400.1	33208|Metazoa
Sco07g08500.1	33208|Metazoa
Sco05g00120.1	33208|Metazoa
Sco06g06130.1	33208|Metazoa
Sco16g08000.1	33208|Metazoa
Sco17g14810.1	33208|Metazoa
Sco16g05210.1	33208|Metazoa
Sco06g10110.1	33208|Metazoa
Sco17g11040.1	33208|Metazoa
Sco02g08850.1	33208|Metazoa
Sco09g03750.1	33208|Metazoa
Sco05g11590.1	33208|Metazoa
Sco03g02830.1	33208|Metazoa
Sco11g02940.1	33208|Metazoa
Sco04g02660.1	33208|Metazoa
Sco07g01550.1	33208|Metazoa
Sco02g05440.1	33208|Metazoa
Sco11g01900.1	33208|Metazoa
Sco09g05080.1	33208|Metazoa
Sco13g07510.1	33208|Metazoa
Sco15g06850.1	33208|Metazoa
Sco17g04160.1	33208|Metazoa
Sco18g09380.1	33208|Metazoa
Sco04g10450.1	33208|Metazoa
Sco03g02960.1	33208|Metazoa
Sco18g10030.1	33208|Metazoa
Sco06g08710.1	33208|Metazoa
Sco10g07440.1	33208|Metazoa
Sco09g04410.1	33208|Metazoa
Sco03g05510.1	33208|Metazoa
Sco16g10300.1	33208|Metazoa
Sco03g12500.1	2759|Eukaryota
Sco12g07910.1	33208|Metazoa
Sco13g08500.1	33154|Opisthokonta
Sco17g06350.1	33208|Metazoa
Sco11g07540.1	33208|Metazoa
Sco15g09760.1	33154|Opisthokonta
Sco07g08240.1	33208|Metazoa
Sco12g03960.1	33208|Metazoa
Sco12g13230.1	33208|Metazoa
Sco15g00560.1	33208|Metazoa
Sco18g08910.1	33208|Metazoa
Sco14g06890.1	33208|Metazoa
Sco07g10980.1	33208|Metazoa
Sco02g05240.1	2759|Eukaryota
Sco07g01100.1	33208|Metazoa
Sco11g10790.1	33208|Metazoa
Sco06g01520.1	33208|Metazoa
Sco14g13820.1	33208|Metazoa
Sco06g03080.1	33208|Metazoa
Sco04g09590.1	33208|Metazoa
Sco11g02700.1	33208|Metazoa
Sco17g01380.1	33208|Metazoa
Sco09g02510.1	33208|Metazoa
Sco09g03150.1	33208|Metazoa
Sco12g03660.1	33208|Metazoa
Sco16g04350.1	33208|Metazoa
Sco19g08350.1	33208|Metazoa
Sco07g03990.1	33208|Metazoa
Sco19g08340.1	33208|Metazoa
Sco13g02980.1	33208|Metazoa
Sco17g04660.1	33208|Metazoa
Sco09g00490.1	33208|Metazoa
Sco17g07330.1	33208|Metazoa
Sco18g03340.1	33208|Metazoa
Sco07g03160.1	33208|Metazoa
Sco16g14140.1	33208|Metazoa
Sco06g07270.1	33208|Metazoa
Sco12g15600.1	33208|Metazoa
Sco11g07860.1	33208|Metazoa
Sco14g09630.1	33208|Metazoa
Sco11g08740.1	33208|Metazoa
Sco16g09880.1	33208|Metazoa
Sco19g14650.1	33208|Metazoa
Sco14g05000.1	33208|Metazoa
Sco05g10530.1	33208|Metazoa
Sco17g02740.1	33208|Metazoa
Sco14g14920.1	33208|Metazoa
Sco04g10350.1	33208|Metazoa
Sco03g00200.1	33208|Metazoa
Sco16g02470.1	33208|Metazoa
Sco07g07040.1	33208|Metazoa
Sco12g06860.1	33208|Metazoa
Sco16g13560.1	33208|Metazoa
Sco16g04200.1	33208|Metazoa
Sco07g05510.1	33208|Metazoa
Sco17g16040.1	33208|Metazoa
Sco16g13680.1	33208|Metazoa
Sco17g04060.1	33208|Metazoa
Sco12g12880.1	33208|Metazoa
Sco02g01180.1	33208|Metazoa
Sco03g08720.1	33208|Metazoa
Sco14g04690.1	33208|Metazoa
Sco16g04680.1	33208|Metazoa
Sco15g06040.1	33208|Metazoa
Sco04g09860.1	33208|Metazoa
Sco13g13100.1	33208|Metazoa
Sco02g07070.1	2759|Eukaryota
Sco13g04390.1	33208|Metazoa
Sco17g11880.1	33208|Metazoa
Sco16g06790.1	33154|Opisthokonta
Sco14g02480.1	33208|Metazoa
Sco08g07590.1	33208|Metazoa
Sco01g00410.1	33208|Metazoa
Sco15g08970.1	33208|Metazoa
Sco12g12500.1	33154|Opisthokonta
Sco16g02740.1	33208|Metazoa
Sco05g05000.1	33208|Metazoa
Sco14g06250.1	33208|Metazoa
Sco03g04080.1	33208|Metazoa
Sco16g03220.1	33208|Metazoa
Sco02g01340.1	33208|Metazoa
Sco10g04840.1	33208|Metazoa
Sco06g08030.1	33208|Metazoa
Sco13g01170.1	33208|Metazoa
Sco02g10060.1	33208|Metazoa
Sco07g00980.1	33208|Metazoa
Sco15g08720.1	33208|Metazoa
Sco15g03640.1	33208|Metazoa
Sco01g06810.1	33208|Metazoa
Sco17g03630.1	33208|Metazoa
Sco11g03620.1	33208|Metazoa
Sco18g10440.1	33208|Metazoa
Sco12g07610.1	33208|Metazoa
Sco01g03130.1	33208|Metazoa
Sco13g14170.1	33208|Metazoa
Sco02g08510.1	33208|Metazoa
Sco12g07850.1	33208|Metazoa
Sco04g09820.1	2759|Eukaryota
Sco03g05190.1	33208|Metazoa
Sco02g00300.1	33208|Metazoa
